date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:04	26282/26282	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202023%2012:34:10%20GMT	https://cuwannstore.com/register	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/register.html	(from https://cuwannstore.com/)
19:34:04	29615/29615	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202023%2012:34:10%20GMT	https://cuwannstore.com/terms-and-conditions	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/terms-and-conditions.html	(from https://cuwannstore.com/)
19:34:04	27762/27762	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202023%2012:34:10%20GMT	https://cuwannstore.com/privacy-policy	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/privacy-policy.html	(from https://cuwannstore.com/)
19:34:05	53244/53244	---M-Z	200	added ('OK')	application/javascript	etag:%22cffc-5eb9d6658270d-gzip%22	https://cuwannstore.com/assets/admin/assets/plugins/bootstrap-select/bootstrap-select.min.js	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/admin/assets/plugins/bootstrap-select/bootstrap-select.min.js	(from https://cuwannstore.com/)
19:34:05	120705/120705	---M-Z	200	added ('OK')	application/javascript	etag:%221d781-5eb9d6662878c-gzip%22	https://cuwannstore.com/assets/plugins/bootstrap-table/bootstrap-table.min.js	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/plugins/bootstrap-table/bootstrap-table.min.js	(from https://cuwannstore.com/)
19:34:05	1799/1799	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dce-5eb9d666277ec-gzip%22	https://cuwannstore.com/assets/js/switch.js	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/js/switch.js	(from https://cuwannstore.com/)
19:34:05	12116/12116	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dc8-5eb9d666277ec-gzip%22	https://cuwannstore.com/assets/js/promoBox.js	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/js/promoBox.js	(from https://cuwannstore.com/)
19:34:05	195275/195275	---M--	200	added ('OK')	image/png	etag:%222facb-5ec243b67cfff%22	https://cuwannstore.com/assets/img/logos/callcenter.png	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/img/logos/callcenter.png	(from https://cuwannstore.com/)
19:34:06	64273/64273	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab93646dca3693bc7271d9d41bbe31ed%22	https://cdn.socket.io/4.1.2/socket.io.min.js	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cdn.socket.io/4.1.2/socket.io.min.js	(from https://cuwannstore.com/)
19:34:06	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264021d65-302c%22	https://cuwannstore.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://cuwannstore.com/)
19:34:07	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Mar%202023%2012:34:13%20GMT	https://github.com/Thatkookooguy.png	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/github.com/Thatkookooguy.39.delayed	(from https://cuwannstore.com/assets/scss/chatbox.css)
19:34:08	884/884	---MC-	200	added ('OK')	text/javascript	date:Wed,%2008%20Mar%202023%2012:34:13%20GMT	https://www.google.com/recaptcha/api.js?render=6LfkNqoiAAAAAAG04cthp-rQrQ2_g39a5NXjgNWb	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/www.google.com/recaptcha/api9eca.js	(from https://cuwannstore.com/contact-us)
19:34:08	3503/3503	---M--	200	added ('OK')	image/png	etag:%22daf-5eb9d666229ca%22	https://cuwannstore.com/assets/img/verified-topupmobile.png	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/img/verified-topupmobile.png	(from https://cuwannstore.com/order/mobile-legends-moonton)
19:34:08	7942/7942	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2008%20Mar%202023%2012:34:14%20GMT	https://argamingshop.com/assets/img/166184321711-min.png	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/argamingshop.com/assets/img/166184321711-min.3c.delayed	(from https://cuwannstore.com/order/mobile-legends-moonton)
19:34:09	8003/8003	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2008%20Mar%202023%2012:34:15%20GMT	https://www.bangjeff.com/assets/img/icon-diamond-ml3-bangjeff.png	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/www.bangjeff.com/assets/img/icon-diamond-ml3-bangjeff.3d.delayed	(from https://cuwannstore.com/order/mobile-legends-moonton)
19:34:09	13120/13120	---M--	200	added ('OK')	image/png	etag:%22a0be611b2b567b2fde8cf9e2192dc113%22	https://assets.tripay.co.id/upload/payment-icon/fH6Y7wDT171586199243.png	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/assets.tripay.co.id/upload/payment-icon/fH6Y7wDT171586199243.png	(from https://cuwannstore.com/order/mobile-legends-moonton)
